step,action,reward,done,state_mean,next_state_mean
999970,4,0.0,0,0.4073024392127991,0.4073018133640289
999971,3,0.0,0,0.4073018133640289,0.4073018133640289
999972,3,0.0,0,0.4073018133640289,0.4073033630847931
999973,3,0.0,0,0.4073033630847931,0.4073042571544647
999974,2,0.0,0,0.4073042571544647,0.4073048830032348
999975,0,0.0,0,0.4073048830032348,0.4073064029216766
999976,0,0.0,0,0.4073064029216766,0.407304584980011
999977,1,0.0,0,0.407304584980011,0.4073051810264587
999978,4,0.0,0,0.4073051810264587,0.4073051810264587
999979,3,0.0,0,0.4073051810264587,0.4073048830032348
999980,3,0.0,0,0.4073048830032348,0.4073054790496826
999981,0,0.0,0,0.4073054790496826,0.4073064029216766
999982,4,0.0,0,0.4073064029216766,0.4073067009449005
999983,2,0.0,0,0.4073067009449005,0.4073067009449005
999984,5,0.0,0,0.4073067009449005,0.4073076248168945
999985,3,0.0,0,0.4073076248168945,0.4073064029216766
999986,3,0.0,0,0.4073064029216766,0.4073061048984527
999987,4,0.0,0,0.4073061048984527,0.4073048830032348
999988,2,0.0,0,0.4073048830032348,0.4073039591312408
999989,3,0.0,0,0.4073039591312408,0.4073030352592468
999990,3,0.0,0,0.4073030352592468,0.4073030352592468
999991,5,0.0,0,0.4073030352592468,0.4073042571544647
999992,4,0.0,0,0.4073042571544647,0.4073048830032348
999993,4,0.0,0,0.4073048830032348,0.4073073267936706
999994,3,-1.0,0,0.4073073267936706,0.4072665870189667
999995,3,0.0,0,0.4072665870189667,0.4072252213954925
999996,3,0.0,0,0.4072252213954925,0.4071826040744781
999997,0,0.0,0,0.4071826040744781,0.4071403443813324
999998,0,0.0,0,0.4071403443813324,0.4071415662765503
999999,0,0.0,0,0.4071415662765503,0.4071421921253204
